time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,day,year,tavg_lag1,prcp_lag1,wpgt_lag3
2022-09-08,0.8623129497676537,24.9,33.2,-0.20530867465337585,0.0,0.0,14.3,0.5522186598378499,1010.6,0.06469314124166582,9,8,2022,0.812233616056299,-0.20530867465337585,-0.5864305639159401
2022-09-09,0.9123922834790084,25.0,34.0,-0.20530867465337585,0.0,0.0,18.9,1.7115705967508001,1012.2,0.7788441235912154,9,9,2022,0.8623129497676537,-0.20530867465337585,0.5522186598378499
2022-09-10,0.7788473935820627,24.0,33.0,-0.20530867465337585,0.0,0.0,15.5,0.5522186598378499,1012.4,1.1608318583363233,9,10,2022,0.9123922834790084,-0.20530867465337585,-0.21378172705106396
2022-09-11,0.8289267272934174,24.0,34.0,-0.20530867465337585,0.0,0.0,11.8,-0.21378172705106396,1010.5,1.1442236959561012,9,11,2022,0.7788473935820627,-0.20530867465337585,0.5522186598378499
2022-09-12,0.9457785059532446,24.8,34.1,-0.20530867465337585,0.0,0.0,10.7,-0.9797821139399764,1007.7,0.8286686107318816,9,12,2022,0.8289267272934174,-0.20530867465337585,1.7115705967508001
2022-09-13,0.8790060610047721,25.0,33.1,-0.20530867465337585,0.0,0.0,12.1,-0.21378172705106396,1008.0,0.6459788245494387,9,13,2022,0.9457785059532446,-0.20530867465337585,0.5522186598378499
2022-09-14,0.6786887261593533,24.0,31.0,-0.20530867465337585,0.0,0.0,11.5,0.17956982297297377,1012.4,0.9117094226329919,9,14,2022,0.8790060610047721,-0.20530867465337585,-0.21378172705106396
2022-09-15,0.5117576137881713,23.0,30.0,-0.20530867465337585,0.0,0.0,12.1,-0.21378172705106396,1013.7,0.8618849354923257,9,15,2022,0.6786887261593533,-0.20530867465337585,-0.9797821139399764
2022-09-16,0.5117576137881713,22.0,31.0,-0.20530867465337585,0.0,0.0,9.6,-1.3524309508048533,1011.5,1.2936971573780998,9,16,2022,0.5117576137881713,-0.20530867465337585,-0.21378172705106396
2022-09-17,0.6786887261593533,23.7,32.0,-0.20530867465337585,0.0,0.0,11.4,-0.21378172705106396,1009.2,0.19755844028344247,9,17,2022,0.5117576137881713,-0.20530867465337585,0.17956982297297377
2022-09-18,0.7621542823449443,24.0,32.0,-0.20530867465337585,0.0,0.0,8.6,-0.9797821139399764,1010.0,0.3304237393252191,9,18,2022,0.6786887261593533,-0.20530867465337585,-0.21378172705106396
2022-09-19,0.6786887261593533,24.0,32.0,-0.20530867465337585,0.0,0.0,9.7,-0.21378172705106396,1011.4,0.3636400640856633,9,19,2022,0.7621542823449443,-0.20530867465337585,-1.3524309508048533
2022-09-20,0.7120749486335901,24.0,32.0,-0.20530867465337585,0.0,0.0,11.1,-0.21378172705106396,1010.3,-0.516592542066107,9,20,2022,0.6786887261593533,-0.20530867465337585,-0.21378172705106396
2022-09-21,0.6286093924479992,24.0,32.0,-0.20530867465337585,0.0,0.0,10.4,0.17956982297297377,1010.6,-0.23425378160233165,9,21,2022,0.7120749486335901,-0.20530867465337585,-0.9797821139399764
2022-09-22,0.8623129497676537,23.0,33.6,-0.20530867465337585,0.0,0.0,7.9,-0.5864305639159401,1009.8,0.39685638884610747,9,22,2022,0.6286093924479992,-0.20530867465337585,-0.21378172705106396
2022-09-23,0.7454611711078264,24.0,34.0,-0.20530867465337585,0.0,0.0,17.7,1.7115705967508001,1011.3,0.3304237393252191,9,23,2022,0.8623129497676537,-0.20530867465337585,-0.21378172705106396
2022-09-24,0.8623129497676537,24.0,35.0,-0.20530867465337585,0.0,0.0,19.3,2.8709225336637503,1013.1,0.4134645512263295,9,24,2022,0.7454611711078264,-0.20530867465337585,0.17956982297297377
